country,cause,DALYs,pct_of_total_DALYs,DALYs_per_100K
Ethiopia,Sense organ diseases,643165.8557,0.016939467,625.1372823
Ethiopia,Substance use disorders,310195.7637,0.00818634,301.5006704
Ethiopia,Diabetes and kidney diseases,797078.6036,0.021073825,774.7357041
India,Neurological disorders,17643207.47,0.03662029,1277.974365
India,Mental disorders,22485306.05,0.046601051,1628.708655
Azerbaijan,Cardiovascular diseases,844711.395,0.262391448,8261.219516
Azerbaijan,Musculoskeletal disorders,155083.588,0.047886127,1516.706856
Brunei,Transport injuries,4578.908346,0.047457476,1058.827744
Brunei,Unintentional injuries,6311.922115,0.065211203,1459.570218
Nicaragua,Transport injuries,36870.89979,0.028690944,576.4167412
Nicaragua,Unintentional injuries,44341.76325,0.034437464,693.2115792
Greece,HIV/AIDS and sexually transmitted infections,2947.833858,0.000931139,28.33823873
Greece,Respiratory infections and tuberculosis,61679.24856,0.019523969,592.9375108
Greece,Enteric infections,3660.138708,0.001151802,35.18579726
Greece,Other infectious diseases,6839.044144,0.002161765,65.74538286
Greece,Maternal and neonatal disorders,41284.86501,0.013077649,396.8813769
Niger,Chronic respiratory diseases,163705.3605,0.012525952,765.8391438
Azerbaijan,Nutritional deficiencies,44494.57365,0.013724557,435.1538791
Jamaica,Digestive diseases,19685.30327,0.025227104,708.2919457
Jamaica,Neurological disorders,45113.51369,0.057805366,1623.217989
Niger,Neurological disorders,237494.4502,0.018155698,1111.035984
Niger,Mental disorders,244944.5036,0.018723673,1145.888493
South Africa,Digestive diseases,446746.3106,0.018598475,812.9628068
South Africa,Neurological disorders,707366.078,0.029391993,1287.223417
Uruguay,Nutritional deficiencies,8913.717942,0.008722577,260.5183652
Montenegro,Transport injuries,4180.882048,0.020741195,667.5334969
Montenegro,Unintentional injuries,13407.83977,0.066332215,2140.740175
Mexico,Digestive diseases,1938937.319,0.0607379,1531.912467
Mexico,Skin and subcutaneous diseases,643104.2918,0.020018943,508.1028007
India,Other non-communicable diseases,22097700.45,0.045901562,1600.632693
Armenia,Nutritional deficiencies,10971.50088,0.011960418,362.4268952
Armenia,Neurological disorders,50564.46351,0.055398612,1670.320379
Libya,Cardiovascular diseases,340728.3611,0.178866749,4931.845429
Brunei,Substance use disorders,1364.567508,0.014086031,315.542882
Brunei,Diabetes and kidney diseases,9402.365929,0.097292571,2174.205106
Greece,Substance use disorders,31349.75583,0.009893983,301.3727732
Greece,Diabetes and kidney diseases,148613.3835,0.0468651,1428.656343
Iceland,Neoplasms,13114.09397,0.174746481,3885.996657
India,Transport injuries,13085499.1,0.027245555,947.8396956
India,Unintentional injuries,23230076.96,0.048336968,1682.655656
Niger,Digestive diseases,217322.514,0.016617602,1016.668529
Niger,Skin and subcutaneous diseases,126932.8463,0.009690462,593.8116014
Nicaragua,Chronic respiratory diseases,36666.16322,0.028461147,573.2160168
Sri Lanka,Unintentional injuries,208171.054,0.040320491,963.9138589
Morocco,Neglected tropical diseases and malaria,17479.8017,0.001683894,49.25425717
Jamaica,Mental disorders,44909.96818,0.057442548,1615.89427
Jamaica,Transport injuries,14517.58446,0.018630242,522.3535552
Azerbaijan,Other non-communicable diseases,190540.0623,0.058943003,1863.468743
Uruguay,Cardiovascular diseases,158439.0841,0.15588865,4630.648113
Uruguay,Chronic respiratory diseases,49506.9755,0.048686042,1446.924438
eSwatini,Transport injuries,22879.93327,0.039664084,2034.792759
eSwatini,Unintentional injuries,17953.30175,0.031116326,1596.650129
Sri Lanka,Skin and subcutaneous diseases,134753.9162,0.025947492,623.963634
Libya,Musculoskeletal disorders,128679.6229,0.067116402,1862.562917
Libya,Other non-communicable diseases,88381.85269,0.046263714,1279.276062
Libya,Transport injuries,127329.1166,0.06684107,1843.01512
Kenya,Nutritional deficiencies,500357.9576,0.027973093,1035.363821
