"country","DALYs.HIV/AIDS_and_sexually_transmitted_infections","pct_of_total_DALYs.HIV/AIDS_and_sexually_transmitted_infections","DALYs_per_100K.HIV/AIDS_and_sexually_transmitted_infections","DALYs.Neglected_tropical_diseases_and_malaria","pct_of_total_DALYs.Neglected_tropical_diseases_and_malaria","DALYs_per_100K.Neglected_tropical_diseases_and_malaria","DALYs.Mental_disorders","pct_of_total_DALYs.Mental_disorders","DALYs_per_100K.Mental_disorders","DALYs.Unintentional_injuries","pct_of_total_DALYs.Unintentional_injuries","DALYs_per_100K.Unintentional_injuries","DALYs.Self-harm_and_interpersonal_violence","pct_of_total_DALYs.Self-harm_and_interpersonal_violence","DALYs_per_100K.Self-harm_and_interpersonal_violence","DALYs.Substance_use_disorders","pct_of_total_DALYs.Substance_use_disorders","DALYs_per_100K.Substance_use_disorders","DALYs.Diabetes_and_kidney_diseases","pct_of_total_DALYs.Diabetes_and_kidney_diseases","DALYs_per_100K.Diabetes_and_kidney_diseases","DALYs.Neoplasms","pct_of_total_DALYs.Neoplasms","DALYs_per_100K.Neoplasms","DALYs.Cardiovascular_diseases","pct_of_total_DALYs.Cardiovascular_diseases","DALYs_per_100K.Cardiovascular_diseases","DALYs.Chronic_respiratory_diseases","pct_of_total_DALYs.Chronic_respiratory_diseases","DALYs_per_100K.Chronic_respiratory_diseases","DALYs.Nutritional_deficiencies","pct_of_total_DALYs.Nutritional_deficiencies","DALYs_per_100K.Nutritional_deficiencies","DALYs.Transport_injuries","pct_of_total_DALYs.Transport_injuries","DALYs_per_100K.Transport_injuries","DALYs.Digestive_diseases","pct_of_total_DALYs.Digestive_diseases","DALYs_per_100K.Digestive_diseases","DALYs.Neurological_disorders","pct_of_total_DALYs.Neurological_disorders","DALYs_per_100K.Neurological_disorders","DALYs.Sense_organ_diseases","pct_of_total_DALYs.Sense_organ_diseases","DALYs_per_100K.Sense_organ_diseases","DALYs.Skin_and_subcutaneous_diseases","pct_of_total_DALYs.Skin_and_subcutaneous_diseases","DALYs_per_100K.Skin_and_subcutaneous_diseases","DALYs.Respiratory_infections_and_tuberculosis","pct_of_total_DALYs.Respiratory_infections_and_tuberculosis","DALYs_per_100K.Respiratory_infections_and_tuberculosis","DALYs.Enteric_infections","pct_of_total_DALYs.Enteric_infections","DALYs_per_100K.Enteric_infections","DALYs.Other_infectious_diseases","pct_of_total_DALYs.Other_infectious_diseases","DALYs_per_100K.Other_infectious_diseases","DALYs.Maternal_and_neonatal_disorders","pct_of_total_DALYs.Maternal_and_neonatal_disorders","DALYs_per_100K.Maternal_and_neonatal_disorders","DALYs.Musculoskeletal_disorders","pct_of_total_DALYs.Musculoskeletal_disorders","DALYs_per_100K.Musculoskeletal_disorders","DALYs.Other_non-communicable_diseases","pct_of_total_DALYs.Other_non-communicable_diseases","DALYs_per_100K.Other_non-communicable_diseases"
"Cameroon",1435826.18466099,0.115386319404868,5170.47071562113,1786697.74516641,0.143448825270179,6433.97401979434,355745.846901181,0.0285580173715047,1281.05581529054,391594.829083093,0.0314371658900959,1410.14951377339,188254.912983707,0.0151376062438615,677.913890311087,109463.537675779,0.00879567170338822,394.182821031737,293356.346528012,0.0235630011255314,1056.38859018497,453882.677215009,0.0364918678484048,1634.45068486616,624162.325207076,0.0501829806855933,2247.63488697564,236615.009558858,0.0190279734380571,852.06063997875,393453.865841631,0.0315211223215773,1416.84398363469,252815.720119208,0.0203180374367733,910.40008274655,321286.682114646,0.0258147525529717,1156.96690793049,364629.582112627,0.0292877850706474,1313.04652088347,143206.135609702,0.0114791011975985,515.691340900053,166926.965086577,0.0133824288004508,601.111049407025,1187944.67593825,0.0953322233667387,4277.83893644965,1067730.77282785,0.085630784251765,3844.94359557692,375427.736019423,0.0301091657818633,1351.93112903055,1388752.3799788,0.111566416088713,5000.9559573709,292148.454474602,0.0234421875846308,1052.03891990001,624317.956582093,0.0500865665647859,2248.19532212828
"Sierra Leone",174638.755147755,0.0363112658498661,2230.45153668767,918944.885406711,0.1903714835813,11736.5817802156,99806.5293556,0.02074561654279,1274.70919375437,157211.504667056,0.0326427496609041,2007.87415068862,41513.6261277968,0.00863916287429119,530.203797615721,23580.013324657,0.00490718965095833,301.159252484359,84937.6645740239,0.0176656433765923,1084.80700238334,122704.607342279,0.0255517311611488,1567.15890338138,261826.445822757,0.0545205929504392,3343.99542608253,68298.4502174911,0.0142210773609031,872.294257435034,221514.264217177,0.0459460780067144,2829.13623956735,79538.5980646756,0.0165329229030432,1015.85119596874,101052.581461909,0.0210259261453713,1290.62352406988,104414.731816628,0.0217121250456697,1333.56424143191,43857.0123230567,0.00911170979359662,560.133061231052,46354.4683197436,0.00963006402396068,592.030073786524,586677.158793735,0.12165487734664,7492.92428970836,375546.312763286,0.0778843146896683,4796.40300740559,190961.846739935,0.0395836221848497,2438.92682440069,716280.877872326,0.148222106935983,9148.19727957081,79956.3587271694,0.0166147465528411,1021.18675227661,320950.248090365,0.0665049933624692,4099.11289992751
"Mauritius",5098.41291629019,0.0126919675106968,400.78333885374,4055.32567622922,0.0100102348170051,318.786844326663,20325.0289992209,0.0503243077733557,1597.73896668498,10050.0111594181,0.0249993788834204,790.025659773315,7812.96876837317,0.0194512043271657,614.173030070514,7395.60679002866,0.018369813313934,581.364442390796,85129.4852129128,0.211611835029286,6691.98040227728,35506.7201677851,0.0884187164535642,2791.16307255573,71734.9364471638,0.178572314962137,5639.04254398347,16578.4231120746,0.0412234070097334,1303.22040934691,6765.02653010125,0.016702378922905,531.794886896091,10020.2803465384,0.0249112914582156,787.68853748675,12281.7128580376,0.0305529337925542,965.458460682878,20319.0567541185,0.0504300705238254,1597.2694918951,14074.210435577,0.0347644545590328,1106.36567549831,8283.90326921227,0.0204715095540772,651.192923266033,8483.69795514571,0.0211014769394569,666.898669863722,2819.80701742924,0.00698521701642157,221.663425447075,2008.89761473318,0.00499160755369426,157.918298628885,11737.167160321,0.0292316161664657,922.652033178351,26641.2584780635,0.0659163230419161,2094.25417270304,15442.9209247644,0.0382679403911367,1213.95922839159
"Brazil",991769.219321945,0.0164279818149819,468.229329594626,531635.238809561,0.00877340574661472,250.993080453602,4088305.61694911,0.0673258094301635,1930.15124981473,2275107.06528488,0.0376111048651888,1074.11264151013,4298929.907244,0.0712874299447507,2029.59018008173,1644211.81949484,0.0271376155020457,776.257402382355,2956222.26996347,0.0488740346782264,1395.67748688959,6144004.58359263,0.101877163220492,2900.67799156815,8477770.14219719,0.140491298962502,4002.48419975388,2146048.22501917,0.0355233146897628,1013.18200051163,1128729.42387281,0.0185750023749062,532.89032482277,2481088.71544998,0.0411202661071331,1171.35971077443,2488926.53518337,0.0411944766125306,1175.0600646549,3681554.07221078,0.060756832988182,1738.11766035263,2024468.701897,0.0332836075082713,955.782458869421,1372780.71771667,0.0225931353646934,648.110651766708,2281443.35962534,0.0378010921282464,1077.10410241994,473894.116436763,0.0078284789623335,223.732618551851,359747.832189248,0.00595636876848202,169.842422014523,2628968.61396969,0.0435740588742123,1241.17605957354,4596403.27902783,0.0756359159238814,2170.03188237395,3412368.72282632,0.0563516055324,1611.03116359167
"Fiji",1191.26537845124,0.0036568880406366,131.350146701537,1465.06093412009,0.00447690843703689,161.539126465297,12118.7375186328,0.037068729196507,1336.22447164487,12695.1812073172,0.0389145204219824,1399.78374604627,7113.42345145632,0.0218215259295197,784.33339103138,2599.30864668052,0.00795652031379965,286.602446642023,63066.6764899478,0.193318487008142,6953.79665923203,22399.6473210302,0.068712655877555,2469.80816776959,70531.1745164004,0.216431912177937,7776.83989423529,16310.716906129,0.0500112715226802,1798.43643337695,6200.67138072184,0.018927551321134,683.692408290007,6122.61881691461,0.0187676576494353,675.086252271404,6600.19474938514,0.0202348714340938,727.744266116046,10179.4666317084,0.0311685519584742,1122.39846771727,6480.64256228751,0.019790774628588,714.562318921225,6092.76445475933,0.0186151069743498,671.794479573473,14666.2229916001,0.0449685417805426,1617.11284181586,6144.82265794512,0.018816766830894,677.534470636054,5846.32242504182,0.0179225859271988,644.621527733889,17946.0846348149,0.0550133342193255,1978.75376229413,14366.0651335991,0.0439177563498782,1584.01712746436,16163.2099377274,0.0494870820002898,1782.17216322394
"Trinidad and Tobago",11902.3812181111,0.0267625900371817,855.176026174723,1026.42293685175,0.00229204713173974,73.7476200960374,24644.9984878687,0.0551161113231125,1770.72230217832,13640.0461147121,0.0305264982829914,980.025779670887,25440.5915223067,0.0569479742807141,1827.88498896974,6854.5872040852,0.0153387986449011,492.496294551383,66712.4652095446,0.149295968954348,4793.23421496592,45944.2281392869,0.102901180228138,3301.0539425535,83028.2317354594,0.185968023236805,5965.50824366157,11929.3488753433,0.026710423834013,857.113629543701,4683.74700377878,0.0104533391135248,336.523261765848,10759.0535434941,0.0240882867446631,773.028899521885,15432.163664622,0.0345308688554729,1108.78791026354,22519.2626545546,0.0504187125476479,1617.98998002209,12062.423858809,0.026918148879069,866.674954580936,8474.2139813518,0.0189158637115198,608.865108983361,9803.72545475081,0.0219569074898555,704.38938414647,2286.37294090358,0.00511715686864103,164.273962505936,2507.96447120094,0.00561586945258777,180.195126585719,19172.88048398,0.0430697258921463,1377.55525068075,24984.0146348896,0.0558228636048705,1795.08032567846,22890.4721321504,0.0512326408860566,1644.66106710219
"Italy",48809.5160834167,0.00295947049275504,80.5471054255145,15804.5584472445,0.000955848981480712,26.0812140255253,1188669.74891732,0.0717870642283682,1961.58280730614,697445.178597206,0.0421582876378996,1150.94749624187,185246.778567325,0.0112753988556817,305.700465816927,182894.938999976,0.0110759075891857,301.819381045437,941919.660687238,0.0570114507083902,1554.3875108714,3203988.67320247,0.195109476824517,5287.32989283365,2636255.89958682,0.160385516788184,4350.43817090411,579468.828003473,0.035219491959247,956.258953689013,61038.14711882,0.00368343683483481,100.727203739437,303263.042170474,0.018392770467795,500.454874160628,599956.560172323,0.0364193661902563,990.068498535016,1748088.82037884,0.10596760195142,2884.75497826246,674719.887345192,0.040685226389604,1113.44545612385,400286.894267487,0.0241614221032358,660.566898838184,216316.091723047,0.0131325731927916,356.972091578906,22207.1280767117,0.00134467164789955,36.6469498147828,37985.6680435998,0.00230713288796593,62.6852272687447,180827.483758677,0.0109961954202648,298.407596855672,1976667.7984573,0.119237633540489,3261.96369743673,591178.528840605,0.0357340553077338,975.58269593259
"Paraguay",69576.1121090195,0.0432385602773421,1003.81411313898,8336.08608935297,0.00514759930541059,120.269451844655,119654.208750641,0.0738650589102257,1726.3192753882,61662.6304859545,0.0381513128279725,889.641816117674,67985.7935125879,0.0421549574725875,980.869682887056,35625.5196401826,0.0220210258372808,513.989619694333,123979.415171234,0.0767223130009821,1788.72148665904,145910.686364149,0.0904896362270647,2105.13640084728,205115.537355688,0.127166319310421,2959.31843531444,47931.0913703397,0.0296625070741273,691.529096945095,38634.5294516756,0.0238081303739218,557.402314422338,81288.8672868403,0.0503800596059915,1172.80068906055,56365.2250151868,0.0348927719426858,813.213136598415,100690.847767348,0.0622399639547352,1452.72408861274,53399.6328365762,0.0328979386449616,770.426852736515,44828.4889465309,0.0276270923973015,646.766088405634,51185.2133298834,0.0317042085975864,738.478163943076,23784.0982263882,0.014687178425005,343.146702858627,11828.1000638928,0.00732427244062606,170.650722149456,68446.5388065226,0.0424395018882388,987.517117108292,111146.630525536,0.0685674406801806,1603.57560903311,88668.4510335692,0.0548121508053513,1279.27013797787
"Kiribati",123.668314214593,0.00230440742189964,104.590436538329,240.619761365648,0.00447809330219357,203.500193568676,1448.7714603252,0.0269818866298656,1225.27456157241,1511.42504335757,0.0281605629088362,1278.26279579928,1911.13907158023,0.0356296602151575,1616.31434091664,330.409294034521,0.00615652167414235,279.438209527349,6179.89889037043,0.115191865256613,5226.54753411608,3076.45513001742,0.0573704822113338,2601.86117262632,8891.60459767736,0.165820634979526,7519.92789991104,2737.10315040767,0.0510418672374982,2314.85983430501,2065.67778547552,0.0384453298590621,1747.01290870283,894.491409329809,0.0166683277738626,756.50135263629,1765.56848437858,0.0329169244663827,1493.2004183306,1393.21234926681,0.0259622528072004,1178.28635997701,732.043113746859,0.0136168379305112,619.113386625484,801.487583871085,0.0149098666898916,677.844901578152,4192.80280112598,0.0781500408828952,3545.99379860509,1841.62042353997,0.0343184708150534,1557.52009121523,2519.99408946669,0.0469543780184211,2131.24342775449,5740.45456913356,0.106924489168136,4854.89474912946,1599.70420541786,0.0297816900363179,1352.92344073298,3662.17839823905,0.0682154097152004,3097.22696379943
"Qatar",1018.99321671999,0.00227855055479314,37.0905691744445,170.992311672539,0.000379792919421991,6.22398860004504,54069.7261987151,0.12031016151364,1968.09643765057,25806.1029989624,0.0576429628617366,939.32229645928,9919.60374096328,0.0222670552848358,361.0659449938,36806.7427528767,0.0820933232136851,1339.73712068065,30093.223318244,0.067062226477752,1095.37017798818,23270.7640644389,0.0522471057001668,847.03790968554,32290.8349058404,0.0723864280798081,1175.36154914832,13291.3456420612,0.029700400083545,483.794756303846,3695.9002686207,0.00821148473649598,134.52792651199,36378.3853143209,0.0815718841242352,1324.14523945372,15562.8398225498,0.0346965103230997,566.475397007181,32795.616518754,0.0729713414388191,1193.73521152855,14016.7868441464,0.0311464254902493,510.200257975923,13138.4355059803,0.0292090491510277,478.228944984673,6320.21633459023,0.0141242267022264,230.051012420025,2524.20239490364,0.00561698672852384,91.879025298947,2291.61984762701,0.00512100332887591,83.4131995044436,16057.6635313908,0.0360613372746725,584.486599339811,55033.7037222404,0.12226613555787,2003.18447791645,23573.7015010379,0.0526356084545192,858.064599327177
