country,cause,deaths,pct_of_total_deaths,deaths_per_100K
Bangladesh,Respiratory infections and tuberculosis,51809.89799,0.058400237,33.00392869
Bangladesh,Enteric infections,43741.56384,0.049286308,27.86424042
Bangladesh,Other infectious diseases,11716.59115,0.013208747,7.463700063
Bangladesh,Maternal and neonatal disorders,58158.60731,0.065588894,37.04818197
Bangladesh,Substance use disorders,3473.327221,0.00391386,2.212578067
Bangladesh,Diabetes and kidney diseases,51413.07838,0.057946592,32.75114676
Bhutan,Cardiovascular diseases,1156.494344,0.279259892,120.7940217
Grenada,Substance use disorders,5.61954821,0.004924142,5.068197897
Grenada,Diabetes and kidney diseases,145.9542149,0.127877674,131.6342199
Guyana,Chronic respiratory diseases,112.8197581,0.020296088,15.19862647
Guyana,Other non-communicable diseases,132.6575916,0.02386358,17.87110003
Guyana,Skin and subcutaneous diseases,8.993189321,0.001619245,1.211526488
Guyana,Transport injuries,131.362678,0.023618343,17.69665446
Mali,Musculoskeletal disorders,102.7525372,0.000553214,0.507326564
Mali,Other non-communicable diseases,9746.3004,0.052270441,48.12102191
Mali,Skin and subcutaneous diseases,207.5072705,0.001116058,1.024538697
Mali,Transport injuries,3306.349872,0.017766981,16.32464916
Bhutan,Nutritional deficiencies,8.60022146,0.002082251,0.898279653
Algeria,Neglected tropical diseases and malaria,61.94158715,0.000368823,0.153079402
Mali,Chronic respiratory diseases,4736.348608,0.025492597,23.38507185
Mali,Digestive diseases,4792.86658,0.025794817,23.66412159
Seychelles,Musculoskeletal disorders,0.418560538,0.000548864,0.414797717
Seychelles,Other non-communicable diseases,21.86179624,0.028669872,21.66526064
Bhutan,Neglected tropical diseases and malaria,22.58021275,0.005463218,2.358467832
Myanmar,Nutritional deficiencies,1215.102102,0.002965446,2.301547536
Malta,Chronic respiratory diseases,171.6971835,0.043020311,39.51855321
Malta,Digestive diseases,127.3850393,0.031916493,29.31948185
Guyana,Cardiovascular diseases,2034.288123,0.365974149,274.0511576
Netherlands,Neglected tropical diseases and malaria,2.947325375,1.94E-05,0.017307584
Netherlands,Digestive diseases,5648.78287,0.037148857,33.17135774
Netherlands,Neurological disorders,18284.94013,0.120250846,107.3746866
Myanmar,Neglected tropical diseases and malaria,4453.121204,0.010859296,8.434739858
Myanmar,Mental disorders,0.109721135,2.67E-07,0.000207825
Malta,Other non-communicable diseases,62.12129991,0.01556508,14.29810231
Malta,Skin and subcutaneous diseases,31.04453693,0.007777623,7.145342512
Malta,Transport injuries,20.72681458,0.005193213,4.770571702
Algeria,Neoplasms,21656.08309,0.128978743,53.51978215
Ukraine,Transport injuries,7426.323954,0.010763906,16.61775834
Ukraine,Unintentional injuries,16148.76122,0.02340688,36.13580732
Myanmar,Digestive diseases,28410.71896,0.069268762,53.81327223
Myanmar,Neurological disorders,17610.11265,0.042969965,33.35564254
Tajikistan,Musculoskeletal disorders,40.64622658,0.000847204,0.439717333
Tajikistan,Other non-communicable diseases,1984.095054,0.041309446,21.46425533
Turkmenistan,Chronic respiratory diseases,440.455879,0.013352548,8.850034562
Turkmenistan,Digestive diseases,2713.857559,0.082251883,54.52926011
Guyana,Unintentional injuries,223.1039635,0.040126702,30.05567342
Seychelles,Other infectious diseases,11.30143892,0.014821139,11.19984
Seychelles,Maternal and neonatal disorders,8.448024546,0.011079726,8.37207756
Seychelles,Substance use disorders,1.847973393,0.00242335,1.831360277
Seychelles,Diabetes and kidney diseases,59.59049305,0.0781454,59.05477984
Somalia,Cardiovascular diseases,18048.22036,0.12398182,106.9182891
Algeria,Nutritional deficiencies,97.70408901,0.000581712,0.241461096
Brunei,Cardiovascular diseases,506.3848182,0.270061882,117.0965335
Mauritania,Neglected tropical diseases and malaria,354.6505221,0.017660593,9.061257806
Turkmenistan,Transport injuries,333.4298782,0.010105441,6.699572163
Turkmenistan,Unintentional injuries,790.2655602,0.023949299,15.87872442
Uzbekistan,Neglected tropical diseases and malaria,17.44227315,8.49E-05,0.054106554
Bhutan,Chronic respiratory diseases,446.3038852,0.107779728,46.61574133
Bhutan,Digestive diseases,254.8409337,0.061483804,26.61773612
Bahrain,Nutritional deficiencies,3.043424207,0.000915244,0.206983181
Algeria,Skin and subcutaneous diseases,143.4783077,0.000854936,0.354585256
Guyana,Digestive diseases,280.8370689,0.050513668,37.83324642
Guyana,Neurological disorders,187.0904409,0.033666312,25.20407573
Tajikistan,Skin and subcutaneous diseases,4.436409857,9.25E-05,0.047993786
Turkmenistan,Neglected tropical diseases and malaria,4.748981551,0.000144038,0.095420797
Malta,Unintentional injuries,86.53799338,0.021682397,19.91795221
Myanmar,Diabetes and kidney diseases,39284.60375,0.095795534,74.40970006
Algeria,Musculoskeletal disorders,171.6157238,0.001022134,0.424122687
Algeria,Other non-communicable diseases,6667.976213,0.039689814,16.47890954
Bhutan,Musculoskeletal disorders,14.24529211,0.003439681,1.487898435
Bhutan,Other non-communicable diseases,122.0316433,0.02950825,12.74601388
Bhutan,Skin and subcutaneous diseases,8.305159858,0.002006928,0.867460931
Mali,HIV/AIDS and sexually transmitted infections,8886.502982,0.047746118,43.87589005
Mali,Respiratory infections and tuberculosis,15138.71968,0.081250095,74.74535276
Mali,Enteric infections,21080.2104,0.113191204,104.0806486
Myanmar,HIV/AIDS and sexually transmitted infections,5927.759842,0.014482376,11.22788038
Myanmar,Respiratory infections and tuberculosis,36166.24979,0.088217126,68.50316772
