"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Gambia",6.18,5.59,5.29,6.97,6.89,6.34,6.81,5.91,7.62,9.97,10.4,10.9,10.4
"Georgia",1.51,5.36,10.6,8.88,6.65,7.61,9.54,10.3,11,14.8,23.6,30.9,33.4
"Germany",2540,2540,2180,2180,2150,1900,1900,2060,2520,2710,2780,2860,3230
"Ghana",11.5,11.7,11.2,11.8,10.3,6,8.65,7.24,9.21,16,23.1,27.1,40.9
"Greece",554,589,562,549,595,550,640,708,943,1070,1260,1420,1620
"Guatemala",19.3,19,23.7,35.4,39,37.7,38.8,38.6,42.3,42.1,46,56.5,61.4
"Guinea",5.54,5.24,5.33,4.2,4.35,3.93,4.31,4.56,5.23,3.71,1.83,2.16,1.82
"Guinea-Bissau",6.31,6.15,5.37,3.82,2.69,1.74,1.49,3.96,4.7,3.39,3.74,3.65,4.44
"Guyana",32.9,36.2,40.9,39.4,33.9,44.8,43.4,46.1,44.2,58.8,66.6,76.8,69.8
"Haiti",9.24,9.09,9.68,9.15,8.17,7.12,5.88,4.29,3.02,4.16,4.17,6.98,8.24
"Honduras",20.4,17.6,19.2,25.8,25.9,41.5,43.6,47.4,59,55.4,53.6,54.3,62.8
"Hungary",271,257,251,251,250,231,259,348,502,588,657,659,720
"Iceland",1870,1900,2250,2250,2680,2470,2180,2660,3300,3720,4350,4240,5120
"India",4.1,4.08,4.61,4.71,5.1,5.08,4.99,4.88,5.39,6.01,7.32,8.21,10.4
"Indonesia",7.08,8.17,7.12,3.26,5.25,5.47,7.15,7.61,10.7,10.7,11.5,16.4,23.1
"Iran",30.5,40.8,53.4,65.1,75.3,96.2,128,44.8,44.3,50.8,69,80.8,98.1
"Ireland",897,950,1050,1090,1170,1170,1390,1680,2220,2670,2840,3010,3500
"Israel",887,981,1000,917,873,932,950,865,860,881,898,930,1030
"Italy",1020,1150,1140,1160,1160,1130,1200,1330,1630,1950,2070,2180,2370
"Jamaica",50.8,73.9,99.9,103,81.3,99.7,77.3,103,82.1,104,83.2,102,120
"Japan",2380,2140,1920,1790,2100,2290,2080,1990,2170,2350,2390,2220,2260
"Kazakhstan",30.9,36.9,43,44.9,25.7,25.9,29.2,32,41.5,65.8,94.9,122,121
"Kenya",6.52,7.11,7.25,9.47,7.08,8.81,8.37,7.76,8.51,8.33,9.69,11.5,13.6
"Kyrgyz Republic",12.9,12.3,10.7,12,7.41,5.73,6.03,6.9,7.89,10,11.6,16.5,23.9
"Lao",9.11,10.2,12.7,6.96,3.21,3.8,3.61,3.46,4.59,3.36,2.58,3.11,3.31
"Latvia",76.4,81.3,89.3,104,115,107,110,129,156,219,252,379,536
"Lebanon",102,123,152,149,143,148,162,186,170,195,198,190,212
"Lesotho",17.1,16.9,14.4,14.1,13.4,13.6,15.5,12.5,19.3,23.8,21.9,28.6,42.5
"Liberia",2.5396,2.637,2.1037,2.03,2.49,2.63,2.86,1.92,1.56,1.96,2.67,3.37,5.88
"Lithuania",73.9,92,118,146,145,148,160,197,267,253,302,384,529
"Luxembourg",2600,2610,2290,2390,2580,2960,2850,3580,4170,5180,5470,5940,6410
"Madagascar",3.61,5.5,5.25,4.98,4.88,6.23,7.58,6.95,7.34,5.99,6.92,7.92,10.6
"Malawi",2.64,2.86,4.13,3.1,3.7,4.31,3.3,6.56,9.14,12,13,14.6,12.7
"Malaysia",74.7,84.2,72.9,56.8,62.9,73.5,84.3,89.3,114,108,97.9,129,143
"Maldives",58.8,63.9,69.5,72.1,81.9,94.8,88.5,87.7,110,133,174,207,222
"Mali",7.53,8.54,6.58,5.85,4.87,4.87,7.45,6.75,9.4,12.1,11.7,12.8,14.2
"Malta",399,437,442,466,459,466,468,584,752,855,957,1000,1060
"Mauritania",17.4,11.4,11.7,14.2,18.7,16.1,11.7,16.2,15.2,18.6,18.6,19.1,22.4
"Mauritius",70.3,73.2,68.9,69.5,68.2,75.5,75.3,85.1,99.5,120,111,110,114
